datetime,business date,date,time,open,high,low,close,volume
2025-02-05 09:30:00,2025-02-05,2025-02-05,09:30:00,8715.55,8715.55,8715.55,8715.55,0
2025-02-05 09:31:00,2025-02-05,2025-02-05,09:31:00,8713.09,8714.97,8661.06,8661.06,8276545280
2025-02-05 09:32:00,2025-02-05,2025-02-05,09:32:00,8660.7,8660.7,8639.34,8640.56,4040869984
2025-02-05 09:33:00,2025-02-05,2025-02-05,09:33:00,8638.88,8644.66,8638.23,8644.29,2410900032
2025-02-05 09:34:00,2025-02-05,2025-02-05,09:34:00,8643.34,8643.34,8639.14,8640.21,2063066672
2025-02-05 09:35:00,2025-02-05,2025-02-05,09:35:00,8640.9,8640.9,8634.26,8636.4,2076472048
2025-02-05 09:36:00,2025-02-05,2025-02-05,09:36:00,8636.53,8637.13,8628.43,8629.08,1860548592
2025-02-05 09:37:00,2025-02-05,2025-02-05,09:37:00,8629.4,8635.33,8628.52,8633.35,1739285936
2025-02-05 09:38:00,2025-02-05,2025-02-05,09:38:00,8632.78,8633.27,8627.57,8631.33,1739112512
2025-02-05 09:39:00,2025-02-05,2025-02-05,09:39:00,8631.98,8633.72,8629.28,8629.46,1478808624
2025-02-05 09:40:00,2025-02-05,2025-02-05,09:40:00,8629.11,8637.64,8628.89,8631.99,1527718592
2025-02-05 09:41:00,2025-02-05,2025-02-05,09:41:00,8632.68,8632.68,8625.08,8625.41,1565745984
2025-02-05 09:42:00,2025-02-05,2025-02-05,09:42:00,8624.74,8627.19,8621.05,8621.38,1425751456
2025-02-05 09:43:00,2025-02-05,2025-02-05,09:43:00,8621.14,8625.92,8619.25,8624.39,1289148944
2025-02-05 09:44:00,2025-02-05,2025-02-05,09:44:00,8624.5,8626.68,8620.7,8625.11,1073040960
2025-02-05 09:45:00,2025-02-05,2025-02-05,09:45:00,8625.44,8629.8,8624.63,8626.59,1113902000
2025-02-05 09:46:00,2025-02-05,2025-02-05,09:46:00,8627.47,8627.47,8620.31,8620.92,1204599008
2025-02-05 09:47:00,2025-02-05,2025-02-05,09:47:00,8622.38,8624.74,8621.25,8624.61,1150273120
2025-02-05 09:48:00,2025-02-05,2025-02-05,09:48:00,8624.3,8624.3,8614.27,8620.3,1580248704
2025-02-05 09:49:00,2025-02-05,2025-02-05,09:49:00,8620.85,8627.09,8620.37,8623.36,1450323264
2025-02-05 09:50:00,2025-02-05,2025-02-05,09:50:00,8622.79,8625.64,8619.64,8625.2,1135878208
2025-02-05 09:51:00,2025-02-05,2025-02-05,09:51:00,8625.4,8625.8,8620.36,8622.17,1114858944
2025-02-05 09:52:00,2025-02-05,2025-02-05,09:52:00,8621.93,8623.75,8613.86,8623.4,1096023456
2025-02-05 09:53:00,2025-02-05,2025-02-05,09:53:00,8623.37,8624.71,8620.24,8624.03,1056490560
2025-02-05 09:54:00,2025-02-05,2025-02-05,09:54:00,8624.89,8629.25,8624.5,8628.24,791842336
2025-02-05 09:55:00,2025-02-05,2025-02-05,09:55:00,8628.45,8628.59,8618.9,8619.06,797249376
2025-02-05 09:56:00,2025-02-05,2025-02-05,09:56:00,8619.37,8620.76,8617.51,8617.98,787414240
2025-02-05 09:57:00,2025-02-05,2025-02-05,09:57:00,8618.7,8619.07,8614.61,8615.53,707319504
2025-02-05 09:58:00,2025-02-05,2025-02-05,09:58:00,8615.05,8615.42,8608.31,8611.12,850483968
2025-02-05 09:59:00,2025-02-05,2025-02-05,09:59:00,8611.68,8612.73,8609.92,8611.09,734130560
2025-02-05 10:00:00,2025-02-05,2025-02-05,10:00:00,8611.63,8613.9,8610.88,8610.88,760008880
2025-02-05 10:01:00,2025-02-05,2025-02-05,10:01:00,8611.4,8611.4,8599.43,8601.24,1157579968
2025-02-05 10:02:00,2025-02-05,2025-02-05,10:02:00,8600.24,8601.68,8590.21,8590.21,1068965840
2025-02-05 10:03:00,2025-02-05,2025-02-05,10:03:00,8589.82,8596.84,8589.46,8595.05,953711648
2025-02-05 10:04:00,2025-02-05,2025-02-05,10:04:00,8595.93,8596.41,8594.14,8594.14,661037968
2025-02-05 10:05:00,2025-02-05,2025-02-05,10:05:00,8593.74,8593.74,8588.84,8592.86,919457616
2025-02-05 10:06:00,2025-02-05,2025-02-05,10:06:00,8593.18,8593.29,8589.64,8592.8,644033376
2025-02-05 10:07:00,2025-02-05,2025-02-05,10:07:00,8591.8,8593.31,8588.64,8588.88,744143984
2025-02-05 10:08:00,2025-02-05,2025-02-05,10:08:00,8589.9,8589.9,8585.38,8589.06,720209312
2025-02-05 10:09:00,2025-02-05,2025-02-05,10:09:00,8589.73,8597.77,8589.73,8594.07,735944176
2025-02-05 10:10:00,2025-02-05,2025-02-05,10:10:00,8594.82,8594.82,8590.3,8592.09,671630000
2025-02-05 10:11:00,2025-02-05,2025-02-05,10:11:00,8592.34,8600.08,8592.34,8598.08,780961264
2025-02-05 10:12:00,2025-02-05,2025-02-05,10:12:00,8599.03,8604.28,8597.21,8600.52,602192800
2025-02-05 10:13:00,2025-02-05,2025-02-05,10:13:00,8601.79,8609.42,8601.68,8609.42,532587552
2025-02-05 10:14:00,2025-02-05,2025-02-05,10:14:00,8610.38,8613.93,8609.41,8610.91,639470688
2025-02-05 10:15:00,2025-02-05,2025-02-05,10:15:00,8610.62,8616.12,8608.86,8616.12,524338656
2025-02-05 10:16:00,2025-02-05,2025-02-05,10:16:00,8617.25,8618.42,8611.39,8611.98,568903408
2025-02-05 10:17:00,2025-02-05,2025-02-05,10:17:00,8611.9,8615.03,8610.47,8615.03,480597408
2025-02-05 10:18:00,2025-02-05,2025-02-05,10:18:00,8614.64,8618.5,8610.29,8611.01,961359120
2025-02-05 10:19:00,2025-02-05,2025-02-05,10:19:00,8611.43,8615.45,8611.43,8615.45,441665520
2025-02-05 10:20:00,2025-02-05,2025-02-05,10:20:00,8615.23,8621.71,8614.02,8619.89,511104592
2025-02-05 10:21:00,2025-02-05,2025-02-05,10:21:00,8619.78,8623.8,8617.28,8618.02,488294608
2025-02-05 10:22:00,2025-02-05,2025-02-05,10:22:00,8617.79,8618.69,8615.87,8616.69,432774832
2025-02-05 10:23:00,2025-02-05,2025-02-05,10:23:00,8616.47,8618.05,8615.71,8617.85,376851072
2025-02-05 10:24:00,2025-02-05,2025-02-05,10:24:00,8617.28,8618.59,8614.87,8618.59,379086928
2025-02-05 10:25:00,2025-02-05,2025-02-05,10:25:00,8619.44,8622.09,8613.68,8613.68,451655456
2025-02-05 10:26:00,2025-02-05,2025-02-05,10:26:00,8614.93,8617.94,8612.76,8617.33,334539840
2025-02-05 10:27:00,2025-02-05,2025-02-05,10:27:00,8617.11,8620.88,8616.39,8619.83,376536608
2025-02-05 10:28:00,2025-02-05,2025-02-05,10:28:00,8621.38,8623.59,8620.4,8623.11,392555728
2025-02-05 10:29:00,2025-02-05,2025-02-05,10:29:00,8622.76,8626.95,8622.76,8626.28,427700944
2025-02-05 10:30:00,2025-02-05,2025-02-05,10:30:00,8626.48,8628.51,8622.07,8622.94,692050064
2025-02-05 10:31:00,2025-02-05,2025-02-05,10:31:00,8623.26,8625.25,8620.74,8621.05,607110640
2025-02-05 10:32:00,2025-02-05,2025-02-05,10:32:00,8619.59,8621.06,8619.16,8619.86,635745056
2025-02-05 10:33:00,2025-02-05,2025-02-05,10:33:00,8619.73,8619.73,8617.97,8619.23,371596400
2025-02-05 10:34:00,2025-02-05,2025-02-05,10:34:00,8618.91,8622.47,8618.34,8619.82,435539568
2025-02-05 10:35:00,2025-02-05,2025-02-05,10:35:00,8620.17,8620.17,8616.51,8617.68,365067328
2025-02-05 10:36:00,2025-02-05,2025-02-05,10:36:00,8617.32,8619.48,8615.55,8617.12,392918096
2025-02-05 10:37:00,2025-02-05,2025-02-05,10:37:00,8616.05,8620.34,8612.99,8620.34,537184176
2025-02-05 10:38:00,2025-02-05,2025-02-05,10:38:00,8619.94,8622.26,8619.61,8620.33,351660448
2025-02-05 10:39:00,2025-02-05,2025-02-05,10:39:00,8621.01,8622.02,8613.45,8615.99,489312000
2025-02-05 10:40:00,2025-02-05,2025-02-05,10:40:00,8614.91,8615.93,8612.79,8614.43,315413440
2025-02-05 10:41:00,2025-02-05,2025-02-05,10:41:00,8614.81,8616.72,8614.15,8616.03,395373264
2025-02-05 10:42:00,2025-02-05,2025-02-05,10:42:00,8615.72,8615.72,8612.35,8613.05,279699760
2025-02-05 10:43:00,2025-02-05,2025-02-05,10:43:00,8612.38,8612.38,8605.84,8605.84,445690864
2025-02-05 10:44:00,2025-02-05,2025-02-05,10:44:00,8606.69,8607.26,8603.29,8606.91,438961392
2025-02-05 10:45:00,2025-02-05,2025-02-05,10:45:00,8606.35,8609.26,8604.85,8608.68,389656224
2025-02-05 10:46:00,2025-02-05,2025-02-05,10:46:00,8608.58,8611.29,8607.14,8611.29,321234816
2025-02-05 10:47:00,2025-02-05,2025-02-05,10:47:00,8611.06,8612.31,8610.21,8611.53,580270320
